transaction_id,account_id,beneficiary_id,type_id,amount,transaction_date,is_fraud
87,93,2,2,38058.64,2025-02-12,0
88,29,24,3,8595.14,2025-03-23,0
89,32,23,4,16694.92,2025-01-08,0
90,33,15,3,333.89,2025-08-30,0
91,107,75,4,47353.89,2025-08-20,0
92,15,67,1,2418.21,2025-03-20,0
93,61,26,3,44285.59,2025-10-01,0
94,133,22,2,44492,2025-08-27,0
95,126,97,1,15724.97,2025-12-15,0
96,72,2,2,23115.42,2025-02-17,0
97,166,94,1,8471.92,2025-12-26,0
98,196,41,3,28467.84,2025-09-05,0
99,18,5,2,31453.81,2025-04-10,0
100,102,36,1,29277.34,2025-05-17,0
101,147,26,4,23872.98,2025-08-13,0
102,8,2,2,43252.74,2025-06-25,0
103,59,68,3,26829.76,2025-10-21,0
104,30,53,3,47597.56,2025-03-12,0
105,197,60,3,2166.44,2025-03-25,0
106,1,4,3,22516.24,2025-11-27,0
107,74,6,1,794.23,2025-06-29,0
108,169,91,1,7744.99,2025-05-12,0
109,5,47,4,14147.61,2025-11-25,0
110,59,97,2,49255.43,2025-04-12,0
111,175,89,3,25493.23,2025-08-07,0
112,171,49,1,46716.73,2025-09-11,0
113,21,72,2,3620.65,2025-07-15,0
114,118,37,2,23147.5,2025-10-28,0
115,42,50,1,6901.23,2025-12-28,0
116,196,57,1,9374.27,2025-01-21,0
117,50,49,4,11285.68,2025-08-26,0
118,58,19,4,5366.17,2025-02-19,0
119,115,33,1,40359.74,2025-08-31,0
120,103,14,1,4949.59,2025-01-28,0
121,15,36,3,23631.11,2025-09-09,0
122,187,8,4,47235.76,2025-05-08,0
123,176,4,3,41521.31,2025-05-30,0
124,105,18,1,46710.15,2025-03-05,0
125,188,17,4,21762.26,2025-10-28,0
126,63,18,1,44923.2,2025-08-16,0
127,50,53,1,25574.56,2025-08-02,0
128,65,91,4,48433.85,2025-02-25,0
129,46,77,3,7338.19,2025-10-13,0
130,127,4,2,17899.06,2025-07-24,0
131,148,32,3,3416.8,2025-02-11,0
132,176,70,4,23385.55,2025-03-18,0
133,101,61,2,36230.97,2025-08-19,0
134,97,84,3,12645.19,2025-11-21,0
135,6,20,2,10049.99,2025-01-22,0
136,82,73,3,6564.52,2025-04-16,0
137,27,8,2,13153.17,2025-09-23,0
138,165,73,4,12620.43,2025-08-11,0
139,60,93,2,438.08,2025-07-29,0
140,74,18,2,30908.56,2025-09-24,0
141,146,59,3,6101.25,2025-12-25,0
142,42,23,2,380.8,2025-06-09,0
143,152,9,1,27067.04,2025-12-13,0
144,26,43,2,19073.36,2025-03-30,0
145,198,14,2,44399.57,2025-10-15,0
146,3,22,3,22173.43,2025-10-30,0
147,69,2,2,42306.93,2025-06-10,0
148,10,20,3,5067.33,2025-12-28,0
149,89,97,1,21673.06,2025-08-30,0
150,130,93,4,7855.55,2025-12-29,0
151,154,75,4,31193.63,2025-03-25,0
152,60,33,3,1312.66,2025-08-08,0
153,145,27,3,42431.42,2025-01-08,0
154,10,42,4,2601.09,2025-02-28,0
155,33,7,3,25030.57,2025-08-18,0
156,113,43,4,41534.62,2025-02-13,0
157,67,95,1,23477.07,2025-01-29,0
158,31,36,2,24499.1,2025-02-12,0
159,14,62,3,42696.68,2025-06-06,0
160,187,36,1,23945.52,2025-10-19,0
161,101,8,3,21952.85,2025-09-18,0
162,163,28,1,7896.68,2025-01-19,0
163,112,14,3,28471.53,2025-04-03,0
164,115,55,4,1393.17,2025-04-30,0
165,134,93,2,9540.12,2025-09-10,0
166,175,18,1,12070.38,2025-08-23,0
167,101,26,4,12934.01,2025-08-20,0
168,19,85,1,21902.98,2025-09-12,0
169,88,89,3,44572.85,2025-06-15,0
170,31,59,4,18291.21,2025-05-26,0
171,96,80,3,45106.04,2025-11-15,0
172,52,7,2,28105.42,2025-04-13,0
173,186,7,2,37113.47,2025-11-21,0
174,134,87,4,40577.81,2025-07-19,0
175,32,90,2,24850.12,2025-12-16,0
176,152,38,4,43555,2025-02-04,0
177,36,35,2,1771.65,2025-11-27,0
178,80,16,3,47963.93,2025-05-16,0
179,50,76,2,43883.99,2025-09-26,0
180,42,86,2,3733.33,2025-12-11,0
181,103,79,4,37935.91,2025-07-03,0
182,146,15,1,28633.02,2025-01-27,0
183,32,94,1,7602.1,2025-07-13,0
184,36,63,2,10232,2025-03-13,0
185,21,72,4,9822.37,2025-11-15,0
186,118,55,4,12287.01,2025-03-25,0
187,31,51,3,1139.87,2025-04-14,0
188,140,45,1,10684.42,2025-05-08,0
189,130,26,1,10581.34,2025-09-23,0
190,63,89,2,36379.19,2025-03-19,0
191,120,53,4,7103.67,2025-12-14,0
192,91,94,2,11698.58,2025-07-26,0
193,98,100,1,41482.72,2025-03-06,0
194,42,15,1,24189.13,2025-12-16,0
195,54,47,4,26429.7,2025-07-02,0
196,163,68,1,11206.59,2025-02-04,0
197,105,43,4,43428.86,2025-07-08,0
198,136,16,2,15988.47,2025-10-14,0
199,33,82,3,40189.28,2025-12-17,0
200,94,48,2,21118.4,2025-03-29,0
201,48,39,1,24310.16,2025-12-06,0
202,171,35,4,2628.1,2025-05-17,0
203,185,45,2,34069.49,2025-12-13,0
204,37,75,1,49101.42,2025-03-27,0
205,66,52,2,35814.02,2025-09-24,0
206,22,38,2,9214.37,2025-10-17,0
207,2,27,1,25589.06,2025-07-21,0
208,90,30,1,49739.55,2025-04-26,0
209,39,79,4,44244.55,2025-02-20,0
210,120,15,3,1854.75,2025-05-01,0
211,168,40,1,23624.7,2025-03-27,0
212,133,50,4,39647.45,2025-10-10,0
213,176,30,2,9354.84,2025-06-21,0
214,19,63,4,39447.12,2025-08-04,0
215,79,54,3,47866.13,2025-08-15,0
216,196,63,4,3671.19,2025-01-31,0
217,136,41,2,29021.71,2025-06-04,0
218,71,18,4,43916.75,2025-11-21,0
219,160,68,4,10108.76,2025-11-21,0
220,178,52,3,29199.42,2025-08-05,0
221,73,91,2,19314.71,2025-10-29,0
222,125,99,2,27505.54,2025-05-03,0
223,96,50,1,41863.14,2025-08-31,0
224,97,80,3,17428.19,2025-08-27,0
225,26,83,3,45511.95,2025-12-28,0
226,134,90,1,23861.98,2025-04-14,0
227,177,99,1,35914.45,2025-01-28,0
228,12,71,4,31390.64,2025-05-31,0
229,83,41,4,27461.64,2025-03-29,0
230,58,99,2,38190.82,2025-06-29,0
231,73,84,4,36809.23,2025-08-21,0
232,126,11,3,48034.29,2025-02-12,0
233,142,47,4,8412.02,2025-05-29,0
234,88,28,3,5293.15,2025-03-20,0
235,186,3,3,37938.22,2025-09-02,0
236,196,96,1,8822.65,2025-05-24,0
237,141,11,3,40525,2025-05-08,0
238,187,49,1,10274.81,2025-03-27,0
239,189,85,1,22575.52,2025-02-26,0
240,45,62,2,17376.3,2025-09-18,0
241,4,72,3,16215.94,2025-03-24,0
242,97,81,2,21245.13,2025-11-15,0
243,40,29,1,35724.3,2025-09-19,0
244,6,92,4,29886.47,2025-11-08,0
245,125,87,2,2387.14,2025-09-20,0
246,87,24,2,491.19,2025-04-24,0
247,38,94,2,46344.29,2025-03-04,0
248,21,88,1,39705.4,2025-05-07,0
249,153,65,2,27462.68,2025-08-09,0
250,65,42,1,22142.66,2025-01-21,0
251,80,71,2,16451.73,2025-07-14,0
252,93,88,3,42071.64,2025-01-16,0
253,81,29,2,41870.11,2025-09-14,0
254,59,39,3,427.64,2025-08-18,0
255,103,14,1,48483.36,2025-07-15,0
256,150,14,1,25079.76,2025-11-24,0
257,42,61,2,45700.11,2025-02-27,0
258,153,97,2,3158.12,2025-06-01,0
259,89,95,2,21302.88,2025-03-21,0
260,123,31,1,8206.65,2025-10-08,0
261,89,38,1,34128.51,2025-08-05,0
262,118,53,2,21975.31,2025-04-02,0
263,155,61,2,24646.67,2025-03-10,0
264,197,44,4,4319.96,2025-11-23,0
265,45,60,1,36061.82,2025-07-11,0
266,146,99,4,393.85,2025-09-28,0
267,189,40,3,39172.92,2025-10-25,0
268,43,43,4,24660.88,2025-05-08,0
269,25,43,2,5227.19,2025-12-11,0
270,91,56,1,14750.35,2025-09-12,0
271,188,78,1,38251.55,2025-09-08,0
272,47,97,2,25278.13,2025-12-31,0
273,177,98,1,9410.08,2025-04-09,0
274,180,10,3,49081.79,2025-04-14,0
275,173,55,1,4650.2,2025-09-04,0
276,140,19,1,21248.67,2025-01-21,0
277,144,55,3,7816.66,2025-07-27,0
278,65,81,3,13112.25,2025-06-07,0
279,180,68,3,38956.54,2025-06-24,0
280,21,43,4,39315.6,2025-12-17,0
281,138,95,4,27646.32,2025-06-18,0
282,125,80,1,43089.49,2025-09-23,0
283,164,53,3,46153.12,2025-12-22,0
284,19,19,2,7358.55,2025-11-29,0
285,125,86,1,13238.51,2025-10-28,0
286,165,73,4,14454.99,2025-11-23,0
287,131,73,3,34282.19,2025-06-22,0
288,139,18,4,20511.73,2025-01-22,0
289,163,58,4,23028.18,2025-05-31,0
290,160,32,4,31504.23,2025-04-07,0
291,17,35,1,26229.61,2025-02-16,0
292,105,34,4,3313.24,2025-03-02,0
293,68,95,2,46525.79,2025-10-30,0
294,108,27,3,37794.35,2025-10-18,0
295,142,43,3,25044.59,2025-07-28,0
296,4,41,1,14083.55,2025-08-05,0
297,47,37,2,9619.48,2025-12-15,0
298,185,54,4,29420.91,2025-07-09,0
299,53,20,2,47186.17,2025-01-06,0
300,64,82,1,16173.06,2025-02-20,0
301,167,20,1,16811.22,2025-09-09,0
302,126,47,3,33695.43,2025-09-18,0
303,117,8,4,46096.89,2025-04-14,0
304,195,90,4,34454.2,2025-02-07,0
305,195,81,2,42851.82,2025-09-03,0
306,45,60,3,15278.34,2025-11-09,0
307,125,61,4,28473.02,2025-11-30,0
308,39,75,4,41463.89,2025-10-09,0
309,112,63,2,21262.46,2025-11-18,0
310,105,63,2,38256.45,2025-08-20,0
311,75,80,3,43473.62,2025-09-24,0
312,159,75,4,39106.34,2025-06-26,0
313,146,80,1,35195.33,2025-08-13,0
314,18,49,1,42676.3,2025-06-17,0
315,46,67,2,35090.59,2025-03-26,0
316,171,38,4,14160.51,2025-02-27,0
317,70,86,1,48893.92,2025-07-02,0
318,84,65,3,47978.19,2025-10-09,0
319,128,30,3,16385.08,2025-03-21,0
320,191,96,4,42325.59,2025-01-26,0
321,175,83,2,730.2,2025-02-03,0
322,100,98,2,27632.31,2025-09-26,0
323,101,97,4,15870.85,2025-09-12,0
324,131,99,3,35728.02,2025-07-22,0
325,51,73,3,17715.62,2025-07-09,0
326,25,16,3,30374.86,2025-07-06,0
327,65,60,1,14378.63,2025-04-12,0
328,57,85,3,9625.92,2025-01-04,0
329,169,98,3,26695.8,2025-04-15,0
330,153,91,3,40126.82,2025-08-10,0
331,38,81,3,30308.72,2025-07-22,0
332,77,86,1,48723.84,2025-10-20,0
333,66,73,2,47826.05,2025-01-01,0
334,140,79,4,36084.04,2025-01-25,0
335,76,98,2,11724.34,2025-01-29,0
336,67,73,2,43826.82,2025-07-12,0
337,175,40,2,2418.95,2025-10-09,0
338,65,99,2,15735.31,2025-03-28,0
339,138,91,1,25470.33,2025-10-21,0
340,57,98,1,14600.13,2025-12-04,0
341,163,5,3,45683.06,2025-06-04,0
342,145,76,3,40609.87,2025-03-22,0
343,10,40,3,34355.33,2025-08-05,0
344,113,60,1,29456.86,2025-01-23,0
345,64,57,3,13843.71,2025-10-23,0
346,197,6,4,19631.33,2025-07-30,0
347,154,99,2,21513.07,2025-12-30,0
348,44,65,4,22953.36,2025-12-12,0
349,106,24,3,20298.79,2025-10-13,0
350,161,27,3,31841.47,2025-10-22,0
351,152,48,3,5825.02,2025-04-28,0
352,41,74,2,43584.6,2025-10-04,0
353,119,29,4,11861.26,2025-05-10,0
354,119,90,4,32129.33,2025-01-30,0
355,189,32,4,5766.67,2025-01-27,0
356,75,28,1,36286.51,2025-03-02,0
357,93,8,2,46827.91,2025-07-01,0
358,151,63,2,11441.71,2025-07-28,0
359,25,49,4,44646.62,2025-10-04,0
360,189,38,1,43536.69,2025-09-27,0
361,175,37,2,16865.95,2025-12-05,0
362,96,76,4,42857.02,2025-07-15,0
363,130,98,4,2847.92,2025-05-17,0
364,63,63,3,5186.19,2025-09-06,0
365,113,66,2,25924.91,2025-05-22,0
366,13,45,3,20622.46,2025-04-23,0
367,151,35,4,8845.11,2025-12-08,0
368,157,52,4,39074.16,2025-09-27,0
369,63,96,4,24216.34,2025-01-17,0
370,119,39,3,28422.39,2025-12-14,0
371,196,90,4,28793.96,2025-01-18,0
372,191,17,3,3352.88,2025-09-08,0
373,189,5,3,6084.53,2025-03-15,0
374,40,77,4,4810.95,2025-02-19,0
375,13,45,4,24441.45,2025-10-02,0
376,116,20,1,40744.97,2025-02-17,0
377,183,94,3,20587.85,2025-08-01,0
378,95,92,3,48328.98,2025-11-29,0
379,67,38,1,5733.96,2025-11-01,0
380,131,46,4,14123.42,2025-01-10,0
381,1,10,3,12529.94,2025-06-29,0
382,193,2,3,38624.32,2025-04-19,0
383,125,46,2,34734.46,2025-05-17,0
384,115,39,1,20492.03,2025-05-21,0
385,172,79,2,6908.11,2025-09-26,0
386,23,28,2,49672.56,2025-01-20,0
387,146,5,1,21796.78,2025-09-16,0
388,137,28,3,21925.97,2025-03-21,0
389,116,65,3,12005.96,2025-04-23,0
390,165,68,3,48298.37,2025-10-01,0
391,5,66,3,16506.63,2025-10-25,0
392,14,9,4,21448.62,2025-04-30,0
393,119,72,3,1052.91,2025-05-07,0
394,13,82,2,45452.09,2025-08-07,0
395,185,55,2,1709.42,2025-05-30,0
396,116,52,4,10368.16,2025-10-10,0
397,170,1,4,10824.06,2025-10-17,0
398,11,98,3,29766.11,2025-07-14,0
399,122,34,2,28784.35,2025-05-21,0
400,20,60,2,4843.96,2025-08-03,0
401,5,41,4,25626.08,2025-06-15,0
402,81,6,2,33897.68,2025-02-23,0
403,155,16,3,37208.14,2025-01-09,0
404,138,45,1,45255.77,2025-04-23,0
405,103,70,3,35335.9,2025-12-06,0
406,162,24,1,3228.7,2025-11-01,0
407,26,91,2,49949.44,2025-04-10,0
408,166,63,3,43481.97,2025-01-29,0
409,101,92,2,19851.44,2025-07-30,0
410,119,55,2,30428.23,2025-04-25,0
411,173,6,4,659.35,2025-10-05,0
412,112,12,3,38659.52,2025-10-20,0
413,16,42,3,46782.55,2025-11-04,0
414,10,51,2,26566.17,2025-05-01,0
415,21,86,1,14750.85,2025-07-16,0
416,63,59,4,37521.06,2025-12-28,0
417,113,83,4,25111.91,2025-08-26,0
418,154,76,3,25610.09,2025-10-12,0
419,99,34,4,2258,2025-05-17,0
420,182,68,2,40079.34,2025-06-09,0
421,131,56,4,21869.83,2025-09-08,0
422,10,93,2,13638.85,2025-03-21,0
423,144,86,1,761.11,2025-12-27,0
424,31,24,1,34811.41,2025-01-01,0
425,137,88,4,39564.27,2025-08-19,0
426,72,9,1,33199.55,2025-11-25,0
427,171,36,1,41228.92,2025-02-02,0
428,188,95,4,16143.26,2025-10-13,0
429,181,94,2,24380.31,2025-02-01,0
430,137,2,4,49928.81,2025-11-22,0
431,58,1,2,38106.73,2025-02-14,0
432,5,60,3,22144.44,2025-02-03,0
433,144,44,4,12323.44,2025-07-22,0
434,82,48,4,32045.7,2025-11-28,0
435,151,83,3,16421.74,2025-11-21,0
436,151,56,4,44077.85,2025-05-05,0
437,100,89,1,26445.11,2025-09-25,0
438,194,36,1,5065.68,2025-07-19,0
439,173,27,3,4500.19,2025-03-01,0
440,65,59,1,29291.15,2025-09-27,0
441,126,5,1,48257.44,2025-08-22,0
442,142,44,4,24023.38,2025-06-29,0
443,200,69,3,37375.54,2025-03-08,0
444,174,16,1,44599.73,2025-10-03,0
445,67,88,3,27939.76,2025-05-30,0
446,137,3,1,26729.52,2025-06-23,0
447,43,31,2,38973.83,2025-03-22,0
448,156,84,4,29689.27,2025-05-21,0
449,140,55,4,3373.81,2025-01-07,0
450,39,53,4,3453.74,2025-02-01,0
451,109,29,3,28071.26,2025-08-23,0
452,108,50,1,26773.66,2025-12-28,0
453,21,81,3,42347.58,2025-09-18,0
454,169,34,2,17242.24,2025-04-18,0
455,126,11,3,47361.64,2025-08-28,0
456,156,66,3,23739.95,2025-12-10,0
457,24,21,3,38402.3,2025-11-12,0
458,4,88,2,22878.35,2025-07-10,0
459,181,63,4,49733.06,2025-08-16,0
460,113,53,3,48519.64,2025-02-10,0
461,118,49,1,31366.91,2025-01-13,0
462,61,16,2,36303.62,2025-10-26,0
463,50,18,3,21023.96,2025-02-26,0
464,47,5,2,14778.64,2025-07-23,0
465,24,15,1,42501.63,2025-08-23,0
466,111,50,4,40270.12,2025-09-23,0
467,149,88,3,440.65,2025-07-16,0
468,141,42,3,34153.55,2025-04-17,0
469,44,71,3,47796.38,2025-06-11,0
470,189,63,2,18066.81,2025-09-06,0
471,86,25,3,29886.69,2025-10-15,0
472,15,30,1,36555.49,2025-11-14,0
473,183,15,1,4343.24,2025-08-29,0
474,176,8,4,14205.99,2025-07-07,0
475,29,67,3,22929.91,2025-05-02,0
476,142,24,2,32514.31,2025-01-02,0
477,199,87,2,11589.58,2025-11-14,0
478,4,10,3,33945.73,2025-06-06,0
479,169,33,2,46911.77,2025-03-29,0
480,75,93,3,4342.93,2025-05-12,0
481,189,49,4,16959.16,2025-02-18,0
482,143,73,3,23344.49,2025-11-21,0
483,173,1,2,7604.37,2025-12-15,0
484,191,67,3,38001.52,2025-12-21,0
485,147,82,3,46921.49,2025-09-15,0
486,145,88,4,2458.75,2025-03-24,0
487,14,76,1,3186.61,2025-09-28,0
488,50,71,4,29455.87,2025-10-29,0
489,88,20,1,27785.33,2025-01-24,0
490,69,27,2,14690.65,2025-11-13,0
491,190,25,1,26289.93,2025-09-19,0
492,9,23,2,47724.81,2025-09-27,0
493,200,49,2,38639.2,2025-11-25,0
494,185,27,1,35597.98,2025-06-09,0
495,54,70,3,24558.66,2025-02-02,0
496,171,62,3,39637.37,2025-01-30,0
497,88,84,4,8457.77,2025-04-13,0
498,185,67,1,34415.58,2025-09-14,0
499,142,90,3,2183.97,2025-10-13,0
500,22,41,2,39110.69,2025-08-23,0
501,31,12,4,16596.3,2025-01-28,0
502,106,75,1,7541.38,2025-01-15,0
503,31,19,4,23115.9,2025-11-14,1
504,173,29,2,47323.65,2025-09-05,0
505,176,17,1,27238.96,2025-03-04,0
506,171,77,1,47494.79,2025-08-23,0
507,80,36,3,22127.29,2025-07-29,0
508,187,72,2,44722.64,2025-10-20,0
509,60,100,1,2725.99,2025-09-24,0
510,143,78,1,15489.29,2025-10-13,0
511,152,86,4,32967.95,2025-09-24,0
512,180,77,2,38002.3,2025-11-10,0
513,163,78,4,32313.92,2025-10-24,0
514,115,66,4,9296.83,2025-08-04,0
515,59,33,3,18914.65,2025-01-16,0
516,85,20,1,46742.9,2025-11-09,0
517,138,57,4,44520.79,2025-04-09,0
518,88,40,2,12395.71,2025-09-20,0
519,123,39,4,25738.58,2025-06-28,0
520,117,11,1,24822.81,2025-12-06,0
521,189,23,1,12846.45,2025-07-31,0
522,110,28,3,32597.65,2025-05-24,0
523,174,32,3,6237.86,2025-04-08,0
524,192,98,3,24677.88,2025-01-31,0
525,152,63,2,17077.37,2025-07-30,0
526,98,85,1,21226.07,2025-08-17,0
527,195,53,2,25461.41,2025-10-05,0
528,91,21,3,42925.76,2025-01-31,0
529,145,100,4,2906.73,2025-11-02,0
530,65,14,2,28281.59,2025-03-24,0
531,197,43,4,49177.03,2025-04-10,0
532,141,42,2,26746.43,2025-06-25,0
533,190,8,3,21121.04,2025-02-12,0
534,14,68,2,44539.18,2025-07-11,0
535,44,21,3,19597.18,2025-08-06,0
536,48,83,2,10091.54,2025-08-20,0
537,112,52,2,17694.04,2025-10-13,0
538,120,75,4,21713.21,2025-11-19,0
539,141,6,3,44024.93,2025-02-27,0
540,198,75,2,22233.16,2025-07-29,0
541,78,25,1,13647.05,2025-11-15,0
542,189,69,1,29287.46,2025-04-18,0
543,52,81,3,41949.56,2025-05-26,0
544,86,39,3,22162.51,2025-10-04,0
545,56,43,2,33242.34,2025-02-01,0
546,106,51,3,5683.06,2025-10-19,0
547,73,93,2,10275.68,2025-01-21,0
548,67,35,3,24027.69,2025-06-04,0
549,123,74,4,37997.39,2025-10-25,0
550,149,64,4,24143.79,2025-02-20,0
551,119,53,1,2879.21,2025-10-19,0
552,48,99,2,43016.97,2025-02-04,0
553,192,37,3,22443.64,2025-06-02,0
554,53,89,1,44190.63,2025-09-28,0
555,198,49,3,15854.11,2025-06-08,0
556,65,61,4,12451.53,2025-10-22,0
557,31,1,4,4615.22,2025-08-02,0
558,160,35,4,4693.06,2025-05-03,0
559,174,44,2,8548.06,2025-08-17,0
560,1,61,1,35054.56,2025-04-20,0
561,193,10,3,11186.35,2025-04-01,0
562,79,27,4,49565.27,2025-07-06,0
563,67,24,4,48653.66,2025-05-10,0
564,171,8,2,37397.75,2025-06-18,0
565,37,30,4,25517.07,2025-04-14,0
566,127,67,1,17445.73,2025-08-30,0
567,29,79,4,39247.59,2025-04-27,0
568,34,44,4,14793.63,2025-03-19,0
569,5,62,2,15724.64,2025-03-16,0
570,99,70,2,4958.97,2025-06-06,0
571,12,5,4,4710.27,2025-05-03,0
572,182,39,4,7576.58,2025-12-06,0
573,31,92,3,32422.09,2025-11-28,0
574,12,86,3,40213.63,2025-12-09,0
575,34,2,1,733.97,2025-11-05,0
576,51,36,3,27675.52,2025-11-16,0
577,54,51,1,11588.53,2025-04-27,0
578,56,83,4,2137.58,2025-04-05,0
579,137,48,4,6751.87,2025-07-24,0
580,95,71,1,5133.62,2025-03-10,0
581,84,4,2,9664.49,2025-01-05,0
582,49,6,2,7884.6,2025-10-14,0
583,46,29,4,5299.45,2025-10-06,0
584,29,88,3,6166.87,2025-08-07,0
585,151,26,2,12290.23,2025-07-22,0
586,176,58,2,43705.73,2025-03-27,0
587,73,50,1,316.57,2025-02-10,0
588,170,33,3,36966.61,2025-03-24,0
589,166,46,4,38692.01,2025-04-19,0
590,101,16,1,32456.7,2025-02-09,0
591,116,91,4,17763.05,2025-03-20,0
592,41,66,1,20288.73,2025-02-15,0
593,11,99,4,41941.58,2025-08-07,0
594,118,87,1,28607.56,2025-05-01,0
595,179,27,2,35948.49,2025-01-20,0
596,195,81,2,40576.73,2025-12-20,0
597,34,46,1,26778.11,2025-09-28,0
598,161,10,1,32789.97,2025-09-20,0
599,196,52,4,37077.03,2025-09-21,0
600,57,55,4,25282.28,2025-06-11,0
601,8,47,1,39495.53,2025-10-09,0
602,152,81,2,25016.37,2025-03-24,0
603,139,14,2,32645.2,2025-07-15,0
604,123,13,2,31687.98,2025-11-28,0
605,26,91,1,17281.99,2025-06-30,0
606,56,49,3,21044.91,2025-03-27,0
607,197,17,2,13299.1,2025-05-01,0
608,13,45,1,23611.61,2025-12-27,0
609,7,92,4,32957.46,2025-04-12,0
610,193,68,1,40418.98,2025-08-24,0
611,30,56,2,14857.35,2025-02-17,0
612,189,61,2,28828.26,2025-03-05,0
613,116,20,2,12471.76,2025-09-09,0
614,72,13,2,46582.35,2025-10-29,0
615,99,93,3,19534.72,2025-06-18,0
616,101,51,2,38787.68,2025-08-09,0
617,136,43,3,32817.7,2025-07-28,0
618,143,13,2,7955.7,2025-09-07,0
619,51,46,4,23279.67,2025-04-20,0
620,51,16,1,34165.55,2025-11-23,0
621,147,46,3,30391.62,2025-09-08,0
622,198,40,2,18954.17,2025-01-12,0
623,66,80,2,20647.18,2025-10-18,0
624,131,10,4,8399.03,2025-11-27,0
625,26,22,4,34846.51,2025-11-26,0
626,50,9,3,8697.45,2025-06-21,0
627,40,29,2,11461.5,2025-05-05,0
628,132,81,4,26096.68,2026-01-01,0
629,10,100,1,7886.6,2025-11-17,0
630,168,77,2,40303.19,2025-11-19,0
631,67,21,2,24386.69,2025-05-28,0
632,85,88,1,1602.75,2025-04-28,0
633,10,62,4,40447.57,2025-08-06,0
634,110,99,4,46606.23,2025-03-20,0
